model,condition,age,mean_rating,sd_rating,n_answered,n_total,pct_answered
deepseek,A_forced,25,2.0,1.0954451150103321,6,12600,0.047619047619047616
deepseek,A_forced,45,2.272727272727273,1.386390248839742,22,12600,0.1746031746031746
deepseek,A_forced,65,1.2,0.5841031335203015,35,12600,0.2777777777777778
deepseek,B_optional,25,,,0,12600,0.0
deepseek,B_optional,45,,,0,12600,0.0
deepseek,B_optional,65,,,0,12600,0.0
gemma,A_forced,25,3.742142857142857,0.9500260937283536,12600,12600,100.0
gemma,A_forced,45,3.7243650793650795,0.9491274507368728,12600,12600,100.0
gemma,A_forced,65,3.6826984126984126,0.9260894869041789,12600,12600,100.0
gemma,B_optional,25,3.667698412698413,0.8921371327889838,12600,12600,100.0
gemma,B_optional,45,3.6346825396825397,0.9002757173136441,12600,12600,100.0
gemma,B_optional,65,3.5895238095238096,0.8704940625404971,12600,12600,100.0
llama,A_forced,25,3.7153174603174604,0.6916923212927855,12600,12600,100.0
llama,A_forced,45,3.7325396825396826,0.6587080082938043,12600,12600,100.0
llama,A_forced,65,3.797142857142857,0.5788488993907054,12600,12600,100.0
llama,B_optional,25,3.5296031746031744,0.7071886061935527,12600,12600,100.0
llama,B_optional,45,3.526031746031746,0.7287733060246242,12600,12600,100.0
llama,B_optional,65,3.591190476190476,0.6905081487721109,12600,12600,100.0
ministral,A_forced,25,3.4243650793650793,0.49906014696716644,12600,12600,100.0
ministral,A_forced,45,3.3588095238095237,0.48836141961595464,12600,12600,100.0
ministral,A_forced,65,3.3246825396825397,0.4821377813841323,12600,12600,100.0
ministral,B_optional,25,4.0,0.0,2386,12600,18.936507936507937
ministral,B_optional,45,4.0,0.0,2070,12600,16.428571428571427
ministral,B_optional,65,4.0,0.0,1794,12600,14.238095238095237
qwen,A_forced,25,3.445634920634921,0.5714841798698272,12600,12600,100.0
qwen,A_forced,45,3.4173015873015875,0.5570713230124056,12600,12600,100.0
qwen,A_forced,65,3.395714285714286,0.5254812383916526,12600,12600,100.0
qwen,B_optional,25,4.028256374913853,0.18908397811104455,1451,12600,11.515873015873016
qwen,B_optional,45,4.020092735703246,0.20713787972159342,1294,12600,10.26984126984127
qwen,B_optional,65,3.9694072657743784,0.29835439012998854,1046,12600,8.301587301587302
